Stratum,Psu,Ssu,Inctot,Age,Sex,Race,Hispanic,Marstat,Ownershg,Yrsusa,School,Educrec,Labforce,Occ,Classwk,VetStat
1,1,48,5005,21,1,1,0,5,2,0,1,7,2,54,22,1
1,1,49,6610,24,1,1,0,1,2,0,2,8,1,0,25,2
1,1,50,6505,24,1,1,0,5,2,0,1,9,2,47,22,1
1,1,51,1105,19,1,1,0,5,1,0,2,8,1,0,0,1
1,1,52,15005,22,1,1,0,3,1,0,1,7,2,44,22,1
1,1,53,15005,24,1,1,0,3,1,0,1,7,2,72,22,1
1,1,54,3385,22,1,1,0,5,1,0,1,7,2,49,22,1
1,1,55,11965,20,1,1,0,1,2,0,1,5,2,24,22,1
1,1,56,8490,21,1,1,0,5,1,0,1,8,2,27,22,1
1,1,57,3005,24,1,1,0,1,2,0,1,7,2,10,22,1
1,1,58,11005,22,1,1,0,5,2,0,1,7,2,18,22,2
1,1,59,2305,17,1,1,0,5,1,0,2,5,2,47,22,1
1,1,60,1305,21,1,1,0,5,1,0,1,7,2,27,22,1
1,1,61,9505,22,1,1,0,1,2,0,1,4,2,8,22,1
1,1,62,0,17,1,2,0,5,1,0,2,6,1,0,0,1
1,1,63,1305,22,1,1,0,5,0,0,2,8,1,18,22,1
1,1,64,5005,19,1,1,0,1,2,0,1,6,2,18,25,0
1,1,65,20505,22,1,2,1,5,1,0,1,7,2,84,22,1
1,1,66,8005,19,1,2,0,2,1,0,1,7,2,78,22,1
1,1,67,0,16,1,2,0,5,2,0,2,5,1,0,0,1
1,1,68,0,21,1,2,0,5,1,0,2,8,2,0,0,1
1,1,69,175,22,1,2,0,5,1,0,1,7,2,44,22,1
1,1,70,6020,20,1,1,0,1,2,0,2,7,2,44,22,1
1,1,71,0,16,1,1,0,5,2,0,2,3,1,0,0,1
1,1,72,11005,20,1,1,0,1,2,0,1,8,2,44,22,1
1,1,73,0,15,1,1,0,5,2,0,2,3,0,0,0,0
1,1,74,0,18,1,2,0,5,1,0,1,7,2,11,22,1
1,1,75,0,16,1,2,0,5,1,0,2,3,1,0,0,1
1,1,76,1205,16,1,1,0,5,1,0,2,6,1,15,22,1
1,1,77,5305,20,1,1,0,2,2,0,1,7,2,18,25,0
1,1,78,15,15,1,1,0,5,1,0,2,4,0,0,0,0
1,1,79,0,15,1,1,0,5,1,0,2,4,0,0,0,0
1,1,80,5410,24,1,2,0,5,2,0,1,7,2,16,22,1
1,1,81,0,18,1,1,0,5,1,0,2,6,2,15,22,1
1,1,82,1685,19,1,1,0,5,1,0,2,7,2,15,22,1
1,1,83,2720,19,1,1,0,5,1,0,1,7,2,18,22,1
1,1,84,1505,18,1,1,0,5,1,0,2,6,1,8,22,1
1,1,85,10005,22,1,1,0,5,1,0,1,7,2,8,25,1
1,1,86,13005,24,1,1,0,2,1,0,1,7,2,8,22,1
1,1,87,1755,19,1,1,1,5,1,0,2,7,1,8,22,1
1,1,88,9005,22,1,1,0,1,2,0,1,8,2,19,22,2
1,1,89,16505,22,1,1,0,3,2,0,1,5,2,10,22,1
1,1,90,2505,21,1,2,0,5,0,0,1,7,2,18,25,0
1,1,91,1405,16,1,1,0,5,1,0,2,5,1,8,22,1
1,1,92,1020,18,1,1,0,5,1,0,1,1,2,47,22,1
1,1,93,5360,21,1,1,0,5,2,0,1,7,2,8,22,1
1,1,94,8005,21,1,1,0,5,2,0,1,7,2,15,22,1
1,1,95,4055,18,1,1,0,5,1,0,1,7,2,8,22,1
1,1,96,8965,22,1,1,0,5,1,0,1,8,2,18,22,1
1,1,97,13895,33,1,1,0,1,1,0,1,4,2,49,22,1
1,1,98,14605,26,1,1,0,1,1,0,1,7,2,47,22,1
1,1,99,13200,34,1,2,0,2,1,0,1,7,2,19,22,1
1,1,100,9500,28,1,3,0,1,1,0,2,8,2,18,25,0
1,1,101,0,25,1,1,0,5,1,0,2,5,2,15,29,1
1,1,102,12005,27,1,2,0,1,2,0,1,7,2,18,22,2
1,1,103,6730,27,1,2,0,1,1,0,1,6,2,18,22,2
1,1,104,9005,27,1,1,0,1,1,0,1,3,2,24,22,1
1,1,105,24020,29,1,1,0,1,1,0,1,7,2,8,22,1
1,1,106,11505,27,1,1,0,1,1,0,1,7,2,32,22,1
1,1,107,8205,27,1,1,0,1,2,0,1,3,2,10,22,1
1,1,108,12005,33,1,2,0,1,1,0,1,8,1,19,22,1
1,1,109,15690,33,1,1,0,1,1,0,1,7,2,8,22,2
1,1,110,12210,34,1,1,0,3,1,0,1,9,2,66,13,1
1,1,111,10765,27,1,1,0,1,1,0,1,8,2,47,22,1
1,1,112,0,26,1,2,0,1,2,0,1,6,2,32,22,2
1,1,113,40260,34,1,1,0,1,1,0,1,9,2,68,14,1
1,1,114,6005,29,1,1,0,1,2,0,1,7,2,15,22,2
1,1,115,8005,33,1,1,0,5,1,0,1,8,2,51,22,1
1,1,116,0,30,1,2,0,5,0,0,1,7,1,0,0,1
1,1,117,12450,29,1,1,0,5,1,0,1,5,2,44,22,1
1,1,118,3505,25,1,1,0,2,2,0,1,7,2,11,22,2
1,1,119,12480,30,1,1,0,5,1,0,1,9,2,64,27,2
1,1,120,10005,29,1,1,0,1,1,0,1,8,2,27,28,1
1,1,121,12495,33,1,1,0,1,2,0,1,9,2,18,27,2
1,1,122,17005,33,1,2,0,3,2,0,1,7,2,53,25,2
1,1,123,0,33,1,2,0,2,1,0,1,7,2,0,0,1
1,1,124,535,27,1,2,0,1,2,0,1,7,2,23,13,2
1,1,125,13010,31,1,1,0,5,1,0,2,8,2,78,22,1
1,1,126,10005,29,1,2,0,1,2,0,1,8,2,17,22,1
1,1,127,14005,32,1,2,0,1,1,0,2,8,2,18,22,2
1,1,128,8005,25,1,2,0,1,2,0,1,6,2,24,22,1
1,1,129,12005,26,1,1,0,1,1,0,1,8,2,19,22,1
1,1,130,10005,25,1,2,0,1,2,0,1,8,2,44,22,1
1,1,131,0,26,1,1,0,5,1,0,1,1,1,0,0,1
1,1,132,0,27,1,1,0,5,1,0,1,3,1,0,0,1
1,1,133,6005,31,1,2,0,5,2,0,1,8,2,4,22,2
1,1,134,5005,25,1,1,0,3,2,0,1,6,2,19,13,1
1,1,135,7900,31,1,1,0,1,1,0,1,7,2,47,13,2
1,1,136,14720,28,1,1,0,1,1,0,1,7,2,8,22,1
1,1,137,2295,31,1,2,0,1,1,0,1,1,2,18,22,1
1,1,138,11005,27,1,1,0,1,1,0,1,7,2,27,22,1
1,1,139,1405,29,1,1,0,1,1,0,2,9,2,84,27,1
1,1,140,16795,25,1,2,0,1,1,0,1,6,2,27,22,1
1,1,141,20005,32,1,2,0,1,1,0,1,7,2,18,22,1
1,1,142,25005,33,1,1,0,1,1,0,1,7,2,44,22,1
1,1,143,13905,30,1,1,0,1,1,0,1,6,2,49,22,2
1,1,144,0,29,1,1,0,3,1,0,1,7,2,32,22,2
1,1,145,16005,27,1,1,0,1,1,0,1,7,2,18,22,1
1,1,146,4005,26,1,1,0,3,1,0,1,7,2,15,22,1
1,1,147,0,28,1,1,0,1,2,0,1,3,2,44,22,1
1,1,148,470,26,1,1,0,1,1,0,1,5,2,7,22,1
1,1,149,9105,26,1,1,0,1,2,0,1,4,2,15,22,1
1,1,150,0,27,1,2,0,3,0,0,1,7,1,0,0,1
1,1,151,12660,31,1,1,0,1,2,0,1,7,2,62,22,1
1,1,152,14305,33,1,1,0,1,1,0,1,7,2,78,22,1
1,1,153,6505,25,1,1,0,1,2,0,1,9,2,17,22,1
1,1,154,425,33,1,1,0,5,2,0,1,3,1,0,0,1
1,1,155,6005,29,1,2,0,5,2,0,1,7,2,68,22,1
1,1,156,26005,31,1,1,1,1,1,0,1,9,2,68,22,2
1,1,157,21005,32,1,2,0,1,2,0,1,6,2,17,22,1
1,1,158,20010,32,1,1,0,1,1,0,1,9,2,84,27,1
1,1,159,18835,32,1,1,0,1,1,0,1,8,2,45,22,1
1,1,160,16195,33,1,2,0,1,1,0,1,7,2,19,22,1
1,1,161,15005,31,1,1,0,1,1,0,1,4,2,27,22,1
1,1,162,15005,27,1,1,0,1,1,0,1,9,2,66,22,1
1,1,163,10005,25,1,1,0,1,1,0,1,5,2,32,22,1
1,1,164,0,28,1,2,0,1,2,0,1,1,1,0,0,1
1,1,165,10985,26,1,1,0,2,2,0,1,5,2,18,22,1
1,1,166,14505,34,1,1,0,1,1,0,1,3,2,27,22,2
1,1,167,7005,31,1,2,0,5,2,0,1,7,2,8,28,1
1,1,168,12375,26,1,2,0,1,2,0,1,8,2,32,22,1
1,1,169,14005,28,1,1,0,1,1,0,1,8,2,49,22,2
1,1,170,805,27,1,2,0,3,2,0,1,7,2,15,22,2
1,1,171,9005,28,1,2,0,1,2,0,1,8,2,18,25,0
1,1,172,1055,31,1,2,0,5,1,0,1,7,1,8,22,1
1,1,173,17050,34,1,2,0,1,2,0,1,7,2,8,28,2
1,1,174,2005,27,1,1,0,5,2,0,1,3,2,9,22,1
1,1,175,10675,26,1,1,0,1,2,0,1,3,2,19,22,1
1,1,176,38005,30,1,2,0,1,1,0,1,9,2,87,22,1
1,1,177,3505,25,1,1,0,5,2,0,2,9,2,68,14,1
1,1,178,8005,29,1,1,0,1,2,0,1,8,2,18,25,0
1,1,179,23030,33,1,1,0,1,1,0,1,9,2,82,22,2
1,1,180,135,27,1,2,0,1,0,0,1,5,1,8,22,1
1,1,181,5605,26,1,2,0,5,2,0,1,3,2,18,22,1
1,1,182,-2790,27,1,2,0,1,1,0,1,7,2,68,14,1
1,1,183,0,31,1,1,0,1,2,0,1,9,1,14,13,2
1,1,184,6385,25,1,1,0,1,2,0,1,7,2,18,25,0
1,1,185,10005,26,1,1,0,1,2,0,1,9,2,92,27,1
1,1,186,1585,33,1,2,0,1,1,0,1,7,2,15,22,2
1,1,187,6160,30,1,1,0,1,2,0,1,8,2,67,13,1
1,1,188,16540,28,1,1,0,5,2,0,1,9,2,80,22,1
1,1,189,18440,33,1,1,0,1,1,0,1,6,2,33,22,1
1,1,190,6505,27,1,1,0,1,1,0,1,7,2,8,22,1
1,1,191,6025,26,1,1,0,3,1,0,1,5,2,21,22,1
1,1,192,14005,28,1,1,0,1,1,0,1,7,2,29,22,1
1,1,193,60010,32,1,1,0,1,1,0,1,9,2,68,14,2
1,1,194,12005,32,1,1,0,5,2,0,1,3,2,18,22,1
1,1,195,1005,29,1,1,0,1,1,0,1,8,2,62,22,1
1,1,196,9880,28,1,1,0,5,2,0,1,9,2,16,13,1
1,1,197,8070,25,1,1,0,5,1,0,1,8,2,39,22,1
1,1,198,17570,26,1,1,0,5,1,0,1,9,2,53,22,1
1,1,199,14005,32,1,1,0,1,1,0,1,7,2,44,22,2
1,1,200,0,36,1,1,0,1,0,0,1,7,2,18,25,0
1,1,201,29840,44,1,1,0,1,1,0,1,7,2,44,25,2
1,1,202,1820,39,1,1,0,1,2,0,1,9,2,27,22,1
1,1,203,12175,45,1,2,0,1,2,0,1,7,2,22,22,1
1,1,204,4235,44,1,2,0,1,1,0,1,7,2,33,22,2
1,1,205,14740,49,1,1,0,1,1,0,1,7,2,32,22,2
1,1,206,1005,35,1,1,0,5,1,0,1,3,2,4,22,1
1,1,207,75000,35,1,1,0,1,1,0,1,9,2,92,22,1
1,1,208,27005,38,1,1,0,1,1,0,1,7,2,58,22,2
1,1,209,15,36,1,2,0,5,0,0,1,7,1,0,0,1
1,1,210,16505,43,1,1,0,1,2,0,1,3,1,14,13,1
1,1,211,19050,44,1,1,0,1,1,0,1,7,2,47,22,1
1,1,212,22030,47,1,1,0,1,1,0,1,8,2,78,27,2
1,1,213,8225,45,1,1,0,1,1,0,1,3,2,24,13,1
1,1,214,14005,36,1,1,0,1,1,0,1,7,2,24,22,1
1,1,215,12005,43,1,1,0,1,1,0,1,8,2,68,22,1
1,1,216,5520,48,1,1,0,3,2,0,1,3,1,0,0,2
1,1,217,8005,48,1,1,0,1,1,0,1,7,2,47,22,1
1,1,218,12005,41,1,1,0,1,2,0,1,7,2,27,22,2
1,1,219,17655,40,1,1,0,1,1,0,1,7,2,49,22,1
1,1,220,6545,48,1,2,0,1,2,0,1,2,2,8,22,1
1,1,221,5765,45,1,1,0,1,2,0,1,8,2,6,22,2
1,1,222,0,43,1,1,0,1,1,0,1,8,2,18,13,1
1,1,223,2005,47,1,2,0,2,1,0,1,7,2,10,13,2
1,1,224,29580,36,1,1,0,1,1,0,1,9,2,44,22,2
1,1,225,30005,36,1,1,0,1,1,0,1,8,2,68,22,1
1,1,226,24510,36,1,1,0,3,1,0,1,7,2,86,22,1
1,1,227,19005,45,1,2,0,1,1,0,1,7,2,40,22,1
1,1,228,0,49,1,2,0,1,1,0,1,8,2,72,29,1
1,1,229,0,41,1,1,0,3,0,0,1,7,1,0,0,2
1,1,230,12905,42,1,1,0,1,2,0,1,8,2,52,22,1
1,1,231,10005,37,1,1,0,1,1,0,1,4,2,14,13,1
1,1,232,0,42,1,2,0,1,2,0,1,6,2,10,22,1
1,1,233,705,37,1,1,0,1,1,0,1,3,1,27,22,1
1,1,234,14900,45,1,1,0,1,1,0,1,8,2,68,22,2
1,1,235,35005,38,1,1,0,3,2,0,1,8,2,87,22,1
1,1,236,8005,38,1,2,0,1,2,0,1,5,2,68,22,1
1,1,237,7005,48,1,2,0,1,1,0,1,2,2,24,28,1
1,1,238,12005,36,1,1,0,1,1,0,1,9,2,46,22,1
1,1,239,66280,45,1,1,0,1,1,0,1,9,2,92,14,1
1,1,240,11965,35,1,1,0,1,0,0,1,7,2,18,25,0
1,1,241,0,47,1,1,0,5,1,0,1,2,1,0,0,1
1,1,242,10730,42,1,2,0,1,1,0,1,9,2,72,28,2
1,1,243,11965,47,1,2,0,4,1,0,1,7,2,9,28,2
1,1,244,21500,39,1,1,0,1,1,0,1,5,2,8,22,2
1,1,245,11805,40,1,1,0,1,1,0,1,4,2,8,22,1
1,1,246,20510,40,1,1,0,1,1,0,1,8,2,77,22,1
1,1,247,6405,35,1,1,0,5,1,0,1,7,2,44,22,1
1,1,248,115,49,1,1,0,3,1,0,1,3,2,27,22,1
1,1,249,205,49,1,2,0,3,2,0,1,5,2,15,22,1
1,1,250,5280,46,1,1,0,1,1,0,1,3,2,19,13,1
1,1,251,16005,47,1,1,0,1,1,0,1,7,2,21,22,2
1,1,252,0,47,1,2,0,3,2,0,1,5,1,0,0,1
1,1,253,28110,49,1,1,0,1,1,0,1,6,2,68,22,1
1,1,254,21005,49,1,2,0,1,1,0,1,5,2,8,22,2
1,1,255,20005,44,1,1,0,1,1,0,1,7,2,68,22,1
1,1,256,11060,43,1,2,0,1,1,0,1,3,2,44,22,1
1,1,257,16110,36,1,1,0,3,2,0,1,7,2,18,22,2
1,1,258,31310,46,1,1,0,1,1,0,1,8,2,87,22,2
1,1,259,15005,42,1,1,0,1,1,0,1,5,2,8,22,1
1,1,260,21735,37,1,1,0,1,2,0,1,3,2,50,22,1
1,1,261,20005,42,1,2,0,1,1,0,1,7,2,19,22,1
1,1,262,1505,49,1,2,0,1,1,0,1,2,1,0,0,1
1,1,263,17820,44,1,1,0,1,1,0,1,9,2,47,22,2
1,1,264,55010,46,1,1,0,1,1,0,1,7,2,68,22,1
1,1,265,73265,36,1,1,0,1,1,0,1,9,2,68,14,1
1,1,266,21005,41,1,1,0,1,1,0,1,4,2,19,22,1
1,1,267,1705,49,1,3,0,4,2,0,1,1,1,6,22,1
1,1,268,24010,43,1,1,0,1,1,0,1,7,2,68,22,2
1,1,269,6005,45,1,1,0,1,1,0,1,3,2,15,13,1
1,1,270,18710,47,1,1,0,1,1,0,1,7,2,49,22,2
1,1,271,7005,35,1,1,0,1,1,0,1,7,2,18,22,2
1,1,272,21005,38,1,1,0,1,1,0,1,7,2,68,22,1
1,1,273,10405,35,1,1,0,5,1,0,1,7,2,5,22,2
1,1,274,18210,44,1,1,0,1,1,0,1,9,2,68,28,1
1,1,275,10005,43,1,2,0,1,1,0,1,3,2,10,27,1
1,1,276,18005,39,1,1,0,1,1,0,1,3,2,17,22,1
1,1,277,7805,35,1,2,0,1,2,0,1,4,2,27,22,1
1,1,278,9255,48,1,1,0,1,2,0,1,6,2,14,13,1
1,1,279,24405,43,1,1,0,1,1,0,1,9,2,18,27,1
1,1,280,22795,44,1,3,0,1,1,0,1,9,2,72,28,2
1,1,281,17920,47,1,1,0,1,1,0,1,4,2,18,22,2
1,1,282,26005,47,1,1,0,3,2,0,1,9,2,90,25,2
1,1,283,22510,35,1,1,0,1,2,0,1,9,2,18,25,0
1,1,284,25515,38,1,2,0,1,1,0,1,8,2,32,22,2
1,1,285,19005,43,1,2,0,1,2,0,1,8,2,64,25,2
1,1,286,18205,47,1,2,0,1,1,0,1,5,2,22,22,2
1,1,287,14005,44,1,1,0,1,1,0,1,5,2,18,22,2
1,1,288,6285,37,1,1,0,3,1,0,1,7,1,0,0,2
1,1,289,4945,43,1,2,0,1,1,0,1,7,2,18,22,1
1,1,290,33690,46,1,1,0,1,1,0,1,7,2,65,22,2
1,1,291,12005,48,1,1,0,1,1,0,1,7,2,49,22,2
1,1,292,24810,38,1,1,0,1,1,0,1,8,2,85,22,2
1,1,293,29415,47,1,1,0,1,1,0,1,7,2,19,13,2
1,1,294,1805,37,1,1,0,1,1,0,1,7,2,9,22,2
1,1,295,12005,39,1,1,0,1,1,0,1,7,2,68,22,1
1,1,296,27565,49,1,1,0,1,1,0,1,7,2,49,22,2
1,1,297,0,38,1,1,0,5,0,0,1,8,1,0,0,1
1,1,298,20005,35,1,1,0,1,2,0,1,7,2,15,22,2
1,1,299,6775,38,1,1,0,1,1,0,1,9,2,68,13,2
1,1,300,3565,41,1,1,0,1,1,0,1,4,1,14,13,1
1,1,301,31005,44,1,1,0,1,1,0,1,7,2,15,22,2
1,1,302,20745,41,1,1,0,1,1,0,2,8,2,24,22,2
1,1,303,43510,46,1,1,0,1,1,0,1,9,2,68,22,2
1,1,304,30530,38,1,1,0,1,1,0,1,7,2,68,14,1
1,1,305,8710,35,1,2,0,3,2,0,1,8,2,44,22,1
1,1,306,21905,39,1,1,0,1,1,0,1,8,2,37,28,1
1,1,307,20310,40,1,1,0,1,1,0,1,7,2,68,22,2
1,1,308,24280,43,1,1,0,1,1,0,1,7,2,17,22,2
1,1,309,6005,45,1,1,0,1,1,0,1,3,2,22,22,1
1,1,310,19545,49,1,1,0,1,1,0,1,3,2,44,22,1
1,1,311,11450,43,1,1,0,5,1,0,1,7,1,19,22,2
1,1,312,11695,57,1,1,0,1,1,0,1,7,2,27,22,2
1,1,313,14770,64,1,1,0,1,1,0,1,3,1,0,0,2
1,1,314,15530,56,1,1,0,1,1,0,1,4,2,24,28,2
1,1,315,19630,59,1,2,0,1,1,0,1,2,2,8,25,1
1,1,316,24005,52,1,1,0,1,1,0,1,8,2,68,13,2
1,1,317,21010,52,1,1,0,1,1,0,1,7,2,33,22,2
1,1,318,6765,60,1,2,0,1,1,0,1,4,2,13,27,1
1,1,319,11780,52,1,1,0,1,1,0,1,7,2,24,27,2
1,1,320,55,60,1,1,0,1,1,0,1,2,1,0,0,1
1,1,321,0,52,1,1,0,1,1,0,1,2,2,9,28,1
1,1,322,57090,53,1,1,0,1,1,0,1,9,2,92,14,2
1,1,323,9310,54,1,1,0,1,1,0,1,4,2,19,29,2
1,1,324,7205,61,1,2,0,1,1,0,1,2,2,15,22,2
1,1,325,20510,52,1,1,0,1,1,0,1,6,2,68,22,1
1,1,326,31700,59,1,1,0,1,1,0,1,6,2,50,22,2
1,1,327,7940,62,1,1,0,3,1,0,1,3,1,47,22,1
1,1,328,10005,60,1,1,0,1,1,0,1,7,2,44,22,2
1,1,329,22615,62,1,1,0,1,1,0,1,9,1,82,22,2
1,1,330,26450,56,1,1,0,1,1,0,2,9,2,49,22,1
1,1,331,11965,53,1,1,0,1,2,0,1,6,2,15,22,2
1,1,332,22365,59,1,1,0,1,1,0,1,7,2,9,22,2
1,1,333,0,63,1,2,0,1,1,0,1,1,2,6,22,1
1,1,334,8305,56,1,1,0,1,1,0,1,6,2,29,22,2
1,1,335,9535,53,1,1,0,1,1,0,1,3,2,5,22,2
1,1,336,4625,64,1,2,0,4,2,0,1,5,1,0,0,1
1,1,337,22365,51,1,2,0,1,2,0,1,7,2,18,22,2
1,1,338,12015,60,1,2,0,1,1,0,1,3,2,9,28,2
1,1,339,27455,58,1,1,0,1,1,0,1,6,2,60,25,2
1,1,340,15085,55,1,1,0,1,1,0,1,7,2,78,22,2
1,1,341,25150,63,1,1,0,1,1,0,1,7,1,44,25,2
1,1,342,10565,56,1,2,0,1,1,0,1,4,2,8,22,1
1,1,343,10005,58,1,1,0,1,2,0,1,1,2,8,22,2
1,1,344,12905,56,1,2,0,3,1,0,1,7,2,18,22,1
1,1,345,11005,51,1,1,0,1,1,0,1,6,2,19,27,1
1,1,346,3305,54,1,1,0,1,1,0,1,8,2,50,22,2
1,1,347,1405,60,1,2,0,2,1,0,1,3,1,8,22,2
1,1,348,3510,61,1,2,0,1,1,0,1,2,2,9,28,2
1,1,349,15635,60,1,1,0,5,1,0,1,7,2,16,22,2
1,1,350,22635,62,1,1,0,1,1,0,1,7,2,27,22,2
1,1,351,3510,60,1,2,0,1,1,0,1,7,1,0,0,1
1,1,352,6765,63,1,1,0,1,1,0,1,6,2,6,22,1
1,1,353,3005,55,1,2,0,1,1,0,1,3,2,19,22,2
1,1,354,8005,61,1,1,0,1,1,0,1,6,1,32,22,1
1,1,355,-6535,52,1,1,0,1,1,0,1,5,2,12,29,2
1,1,356,2495,62,1,1,0,5,2,0,1,2,1,0,0,1
1,1,357,14085,62,1,1,0,1,1,0,1,5,1,0,0,2
1,1,358,1005,57,1,2,0,1,2,0,1,2,2,19,22,1
1,1,359,9305,57,1,1,0,1,1,0,1,3,2,8,28,2
1,1,360,8005,55,1,3,0,1,2,0,1,2,2,6,22,1
1,1,361,4485,64,1,1,0,1,1,0,1,3,1,18,22,2
1,1,362,20010,59,1,1,0,1,1,0,1,4,2,39,28,2
1,1,363,5230,64,1,1,0,1,1,0,2,3,1,19,22,2
1,1,364,11965,50,1,2,0,2,2,0,1,5,2,18,22,2
1,1,365,12005,58,1,2,0,1,1,0,1,2,2,17,22,2
1,1,366,21225,57,1,2,0,1,1,0,1,3,1,18,22,2
1,1,367,2505,59,1,2,0,5,2,0,1,7,1,11,22,1
1,1,368,10670,56,1,2,0,4,1,0,1,4,2,18,22,2
1,1,369,12335,61,1,1,0,1,1,0,1,3,2,9,28,2
1,1,370,23005,55,1,1,0,1,1,0,1,3,2,24,22,2
1,1,371,2505,57,1,2,0,1,2,0,1,2,1,0,0,2
1,1,372,12945,61,1,1,0,1,1,0,1,4,1,14,13,2
1,1,373,3575,57,1,2,0,1,2,0,1,3,2,8,27,1
1,1,374,3005,50,1,1,0,1,1,0,1,3,1,0,0,1
1,1,375,3355,56,1,2,0,1,2,0,1,3,1,0,0,1
1,1,376,555,58,1,2,0,5,2,0,1,7,2,8,22,2
1,1,377,3220,61,1,1,0,1,1,0,1,7,2,68,13,2
1,1,378,69010,56,1,1,0,1,1,0,1,9,2,66,22,2
1,1,379,20005,55,1,1,0,1,1,0,1,8,2,53,25,1
1,1,380,3005,57,1,1,0,1,1,0,1,3,1,19,22,2
1,1,381,12105,61,1,2,0,1,1,0,1,7,2,27,22,2
1,1,382,6100,54,1,1,0,1,1,0,1,8,2,49,22,2
1,1,383,26470,54,1,1,0,1,1,0,1,5,2,27,22,2
1,1,384,25790,50,1,1,0,1,1,0,1,9,2,68,22,2
1,1,385,23005,57,1,1,0,1,1,0,1,7,2,18,22,2
1,1,386,9630,60,1,1,0,1,1,0,1,3,2,32,22,2
1,1,387,10390,53,1,1,0,1,1,0,1,3,1,9,22,2
1,1,388,2710,76,1,2,0,4,1,0,1,3,1,0,0,1
1,1,389,12010,65,1,1,0,1,1,0,1,3,1,27,22,1
1,1,390,9030,76,1,1,0,1,1,0,1,4,1,0,0,1
1,1,391,9750,69,1,1,0,1,1,0,1,8,1,68,22,2
1,1,392,3160,70,1,1,0,1,1,0,1,3,2,18,22,1
1,1,393,4005,80,1,1,0,1,1,0,1,7,1,0,0,2
1,1,394,8835,65,1,1,0,4,1,0,1,7,1,44,27,2
1,1,395,6255,90,1,1,1,4,0,0,1,2,1,0,0,1
1,1,396,13920,67,1,1,0,1,1,0,1,8,2,47,22,1
